FID,RDNAME,RDNAME2,HWY_NUM,AADTT16,VOG_WGT,VOG16,SHAPE_Length
1,Bluewater Hwy,King's Highway 21,21,461,1146977,2684000,0.028782209571878
2,Highway 48,King's Highway 48,48,616,397695,2211000,0.0173020412189128
3,Yonge St,County Road 1,11,0,0,0,0.018362485472072
4,Hwy 9, ,9,507,760719,1200000,0.00529956471572189
5,Cassells Street, ,63,0,0,0,0.00627105612444099
6,Bayfield St,Hwy 26,11,0,0,0,0.000274488615419967
7,Hwy 62,Hwy 62,62,74,128623,313000,0.0163826725628729
8,Hwy 26,Hwy 27,11,0,0,0,0.00025317905913816
9,Highway 11,Highway 17,17,939,9309647,31212000,0.000781674041755357
10,Yonge St,Simcoe County Road 4,11,0,0,0,0.0130190494723482
11,Highway 11,Highway 17,17,939,9309647,31212000,0.0052728041875638
12,Highway 7, ,7,265,1044689,1625000,0.0447195469491314
13,Highway 11,Highway 17,17,936,7929180,28370000,0.00300914359754531
14,Woodlawn Rd W,King's Highway 7,7,0,0,0,0.00943214394865952
15,Trout Lake Road, ,63,0,0,0,0.0100906847675245
16,Highway 21, ,21,147,134366,1434000,0.0149710300507583
17,Highway 11,Highway 17,17,907,7034849,27246000,0.000249503377645033
18,Highway 21, ,21,147,134366,1434000,0.000482468898442324
19,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0231380774729428
20,Highway 41, ,41,132,349818,525000,0.0185045066779911
21,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0186166357248552
22,Highway 21, ,21,202,134366,1434000,0.0164036592550734
23,Bluewater Hwy,King's Highway 21,21,267,746863,2370000,0.0186347286822391
24,Highway 21, ,21,147,134366,1434000,0.0202472247862722
25,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0186672267226725
26,Highway 21, ,21,147,134366,1434000,0.00550700380701988
27,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0186502591295759
28,Yonge St, ,11,0,0,0,0.0115421657617426
29,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0186068698769595
30,Base Line,County Road 21,21,0,0,0,0.0113309086308623
31,Richmond St,King's Highway 4,4,117,254780,589000,0.0135850778271265
32,Base Line,County Road 21,21,0,0,0,0.00567066815537557
33,Richmond St,King's Highway 4,4,199,183693,352000,0.0187086952472828
34,Irish School Rd,County Road 21,21,0,0,0,0.0253322389450673
35,Richmond St,King's Highway 4,4,117,254780,589000,0.0128865898242079
36,Hwy 89, ,89,321,1433370,4233000,0.00448366562224147
37,Richmond St,King's Highway 4,4,67,62092,302000,0.0132151441051777
38,Hwy 89, ,89,322,1434572,4237000,0.0172071739293246
39,Dundas St S,King's Highway 8,8,400,2282664,2764000,0.0158369255208575
40,Hwy 89, ,89,322,1434572,4237000,0.0036271946460098
41,Elginfield Rd,King's Highway 7,7,296,386706,1000000,0.0201461750776689
42,Hwy 89, ,89,322,1434572,4237000,0.00546418659455136
43,Bloor St W,Hwy 5,5,0,0,0,0.00126812026241165
44,Hwy 89, ,89,322,1434572,4237000,0.0204513767587647
45,Yonge St, ,11,0,0,0,0.00108879842208102
46,Broad St E,King's Highway 3,3,163,414420,908000,0.0165042060387169
47,Yonge St, ,11,0,0,0,0.000708156978347049
48,Industrial Rd,County Road 21,21,0,0,0,0.00283159195509659
49,Highway 26, ,26,375,667736,1691000,0.00393281275566579
50,County Road 21,Hwy 21,21,0,0,0,0.00591908832505853
51,Hwy 35,King's Highway 35,35,243,628026,2407000,0.0131363159884414
52,Hwy 20, ,20,0,0,0,0.0062365527755078
53,County Road 21,Hwy 21,21,0,0,0,0.0145835081933229
54,Main St E,Hwy 8,8,0,0,0,0.00115773681378586
55,County Road 21,Hwy 21,21,0,0,0,0.000574142353419146
56,Markham Rd, ,48,0,0,0,0.0070123401985187
57,Highway 6, ,6,2504,10559170,28093000,0.0149323552804466
58,Norfolk St S,Regional Road 24,24,0,0,0,0.012866121014615
59,Highway 21, ,21,243,134619,1435000,0.0203034867430738
60,Sykes St S,Hwy 26,26,253,91332,339000,0.0127114130938859
61,Rest Acres Rd,King's Highway 24,24,604,3070036,5342000,0.0190908359162078
62,Woodlawn Rd W,King's Highway 7,7,0,0,0,0.000741321118043053
63,Hwy 35,King's Highway 35,35,409,1065127,5683000,0.0129090079714957
64,Hwy 35,King's Highway 35,35,243,628026,2407000,0.013626413741092
65,Highway 7a, ,7,294,340603,179000,0.00126535033094397
66,Highway 7a, ,7,294,340603,179000,0.00183013821119385
67,Hwy 35,Highway 7A,35,311,1105697,2591000,0.000782111245282732
68,Highway 6,King's Highway 6,6,538,1104908,3160000,0.0109305851014366
69,Hwy 89, ,89,683,1731712,5002000,0.000678185815228879
70,County Road 21,Hwy 21,21,0,0,0,0.00375496965528954
71,County Road 21,Hwy 21,21,0,0,0,0.00120972471746455
72,County Road 21,Hwy 21,21,0,0,0,0.000174773367506173
73,Hwy 89, ,89,393,1653354,10711000,0.018409366201819
74,County Road 2, ,2,0,0,0,0.0342706161668431
75,Hwy 26,Highway 26,26,272,1131093,4257000,0.0170570288029306
76,Becker Road, ,631,0,0,0,0.00306767208154526
77,Hwy 26, ,26,0,0,0,0.00921206432043471
78,Highway 26, ,26,393,848272,2098000,0.00345631520663501
79,Hwy 26,Pretty River Pky,26,0,0,0,0.000180953032609068
80,Hwy 26, ,26,469,1053036,971000,0.0164674094274943
81,Highway 522B, ,522,0,0,0,0.000105261331962585
82,Highway 60, ,60,135,641333,1060000,0.00422003832397606
83,Highway 124, ,124,20,56495,75000,0.0237210809716263
84,Chapmans Landing Road, ,654,0,0,0,0.000327361641036772
85,Highway 522B, ,522,16,67628,78000,0.00177044683622639
86,Young St,Hwy 89,89,0,0,0,0.00215909893146996
87,St Clair Rd,King's Highway 40,40,255,721285,1418000,0.0149674388616743
88,Hwy 89, ,89,652,2299992,6818000,0.00241552565209112
89,St Clair Rd,King's Highway 40,40,261,728887,1501000,0.014766462995166
90,Hwy 89, ,89,388,1679819,10702000,0.00455096034767705
91,Highway 7,Highway 35,35,301,483211,888000,0.000819538035755531
92,Hwy 26, ,26,686,2096568,4958000,0.00397605886580969
93,Main St S,King's Highway 21,21,198,439547,1016000,0.0196424211407039
94,Yonge St, ,11,0,0,0,0.000689774395002105
95,Hwy 93, ,93,339,1232979,3275000,0.00427457157777112
96,Yonge St, ,11,0,0,0,0.0127555138840456
97,Lakeshore Rd,King's Highway 21,21,272,796538,2409000,0.00072654387343345
98,Highway 12, ,12,317,233704,1317000,0.0142270628075431
99,Highway 12, ,12,367,789587,771000,0.00339956264924193
100,Highway 12, ,12,407,789587,771000,0.00200899578795007
101,Base Line,County Road 21,21,0,0,0,0.0167197131695415
102,Parry Sound Drive, ,124,76,106106,211000,0.00142791734835615
103,Highway 7, ,7,262,1581877,4724000,0.0836395321962182
104,Base Line,County Road 21,21,0,0,0,0.0170610617037448
105,Highway 144, ,144,588,798095,702000,0.00647910943013877
106,Highway 144, ,144,588,1052299,9575000,0.00508200597105141
107,Highway 144, ,144,546,1010981,9501000,0.000960000520853689
108,Northwest Bypass, ,144,304,758282,825000,0.000912285043173194
109,Forest Rd,King's Highway 21,21,211,550332,1045000,0.00174987570989091
110,Forest Rd,King's Highway 21,21,211,550332,1045000,0.0125555358180381
111,Lakeshore Rd,King's Highway 21,21,328,747107,2361000,0.00254376864786361
112,Lakeshore Rd,King's Highway 21,21,328,747107,2361000,0.00137649191791501
113,Highway 35, ,35,197,111452,127000,0.00584301455798486
114,Ontario Street, ,520,118,26,0,0.000145416030759844
115,Hwy 3,King's Highway 3,3,149,1020013,1396000,0.00368715057056554
116,Highway 7,Highway 35,35,410,493248,941000,0.0159209484244367
117,Hwy 9,Highway 9,9,1078,6124563,12172000,0.00692799819919219
118,Talbot Rd,King's Highway 3,3,741,487184,1518000,0.00147098271373159
119,Highway 11, ,11,320,3318424,18388000,0.0899532688063486
120,Base Line,County Road 21,21,0,0,0,0.00436611664345693
121,Highway 21, ,21,147,134366,1434000,0.0204438053687152
122,Highway 21, ,21,147,134366,1434000,0.0186118730425813
123,Highway 24, ,24,398,765303,1495000,0.012762145899562
124,Highway 35, ,35,350,453425,1375000,0.0225742326836756
125,Highway 409 W, ,409,5587,11533577,53990000,0.0117901032610253
126,Hwy 27, ,27,0,0,0,0.00027057346507345
127,Highway 10, ,10,290,820459,2422000,0.0225338109905852
128,County Road 29, ,15,435,1165332,6898000,0.001853273203781
129,Dundas St W,Hwy 5,5,1147,2464507,1805000,0.000114856432121932
130,Broadway St,King's Highway 19,19,0,0,0,0.00936972299175072
131,Hwy 26, ,26,211,79228,471000,0.0168700905045085
132,Regional Hwy 2,Highway 2,2,0,0,0,0.00153508337105998
133,Main St E,Regional Road 3,3,232,618705,1429000,0.000540267526325076
134,Dundas St W,County Road 2,2,0,0,0,0.0201610166099384
135,Loyalist Pky,County Road 33,33,0,0,0,0.00790522592534916
136,County Road 3,Talbot Trail,3,0,0,0,0.0237400781484826
137,Highway 21, ,21,147,134366,1434000,0.019790241600565
138,Dundas St E,Regional Road 5,5,0,0,0,0.00723728997982047
139,Base Line,County Road 21,21,0,0,0,0.0142686273778941
140,Base Line,County Road 21,21,0,0,0,0.00226804982304653
141,Base Line,County Road 21,21,0,0,0,0.00907322630522027
142,Highway 15, ,15,204,260530,405000,0.0167653109053953
143,Base Line,County Road 21,21,0,0,0,0.0155250204408066
144,Base Line,County Road 21,21,0,0,0,0.00137790743519861
145,Base Line,County Road 21,21,0,0,0,0.000793076275008033
146,Bloor St W,Hwy 5,5,0,0,0,0.00149529599544641
147,Goderich St,King's Highway 21,21,0,0,0,0.00104670339636806
148,Yonge St, ,11,0,0,0,0.000182923481241212
149,Highway 7,King's Highway 8,7,1389,6366074,14799000,0.00347629722548464
150,Rest Acres Rd,King's Highway 24,24,616,3495922,5412000,0.00732600087592695
151,Dundas St E,Regional Road 5,5,0,0,0,0.00443687000801794
152,Hwy 35,King's Highway 35,35,225,696393,2502000,0.00298619192216104
153,King St W,Tc Hwy,7,478,557593,1372000,0.0122130044337697
154,Woodward Avenue, ,557,0,0,0,0.00196657631684495
155,Highway 69, ,69,677,5577221,20225000,0.106873410918933
156,Highway 69, ,69,531,5581692,20259000,0.0046342162698879
157,Highway 529, ,529,5,24360,25000,0.00118747168221183
158,Highway 17 & 64, ,17,378,1369632,8606000,0.0190173413392251
159,3rd Avenue, ,652,523,5115889,19055000,0.00639620132705432
160,Highway 7,Tc Highway,7,361,321444,590000,0.00164526385540905
161,Highway 7,Tc Highway,7,627,530400,1234000,0.0122851831348042
162,Highway 7,Tc Highway,7,285,380059,612000,0.00109304133595476
163,Ontario Street, ,520,118,26,0,0.00122933844001018
164,Regional Road 7, ,7,0,0,0,0.000114002438555058
165,Yonge St,County Road 1,11,0,0,0,0.0073060681918125
166,King St E,Regional Highway 2,2,0,0,0,0.00110242272022058
167,King St E,Regional Highway 2,2,0,0,0,0.0101131669718639
168,Highway 7,Tc Highway,7,547,375070,398000,0.00112570866569086
169,King St E,Regional Highway 2,2,0,0,0,0.01046203950767
170,Talbot Line,County Road 3,3,0,0,0,0.0173511479623808
171,County Road 109,Hwy 9,9,0,0,0,0.0240716854640313
172,County Road 109,Hwy 9,9,0,0,0,0.0107246977161969
173,County Road 2,Highway 2,2,0,0,0,0.0102678584992885
174,County Road 2,Highway 2,2,0,0,0,0.0100422476911936
175,Highway 7, ,7,274,3465569,2047000,0.0137495104107753
176,Highway 15, ,15,126,194137,410000,0.0129111949329817
177,Highway 15, ,15,126,194137,410000,0.0134035439543538
178,Highway 15, ,15,128,195334,415000,0.00230473402323888
179,Queen St E,Regional Road 107,7,0,0,0,0.00893658053645311
180,Highway 7,Tc Highway,7,627,530400,1234000,0.0133153320947041
181,Talbot Rd,King's Highway 3,3,355,1162578,1782000,0.00855197905270654
182,Hwy 9,Highway 9,9,1096,7334958,9365000,0.0014429582204758
183,County Road 6, ,6,0,0,0,0.0129925719763271
184,Highway 6, ,6,182,540416,2318000,0.0212746136412594
185,Bluewater Hwy,King's Highway 21,21,267,746863,2370000,0.018591018849821
186,Cannifton Rd,Highway 37,37,0,0,0,0.00136470949291958
187,Highway 24, ,24,400,771450,2481000,0.0105998096061623
188,Highway 7, ,7,242,1523065,1566000,0.043555213085605
189,Highway 7, ,7,261,1623019,1708000,0.0301701364867774
190,Highway 77, ,77,579,3313233,10455000,0.000366722028230913
191,Highway 6,King's Highway 6,6,261,1019396,2354000,0.0438389893168562
192,Highway 6,King's Highway 6,6,285,946100,2020000,0.0203723688704686
193,Mitchell Line,Hwy 23,23,263,159488,885000,0.0185147771541513
194,Highway 6,King's Highway 6,6,261,1019396,2354000,0.0195516298602348
195,County Road 109,Hwy 9,9,0,0,0,0.0175697792852295
196,County Road 109,Hwy 9,9,0,0,0,0.013387310339137
197,County Road 109,Hwy 9,9,0,0,0,0.000585030768422418
198,County Road 109,Hwy 9,9,0,0,0,0.00392678407480607
199,County Road 109,Hwy 9,9,0,0,0,0.000605815978682026
200,Highway 6,King's Highway 6,6,182,540416,2318000,0.000501063690562597
201,Highway 6,George St,6,426,1434267,4883000,0.000440113003703715
202,Plank Line,King's Highway 19,19,524,2693157,11307000,0.00217002034583408
203,Loudon Rd,King's Highway 4,4,348,555465,845000,0.0185680779963326
204,Highway 7,Victoria St N,7,807,717270,3313000,0.0112871723048974
205,Dundas St S,King's Highway 8,8,524,876329,1647000,0.0164516050940389
206,Hwy 89, ,89,299,1348315,3627000,0.00396709430670732
207,Victoria St N,King's Highway 7,7,0,0,0,0.0177501906865437
208,Highway 21,Bluewater Hwy,21,148,153613,1702000,0.0183841119022934
209,Highway 77, ,77,559,1378772,2153000,0.0127141951500147
210,County Road 109,Hwy 9,9,0,0,0,0.0147890009488178
211,Highway 6, ,6,186,792228,2676000,0.0110043528298716
212,Main St W,Regional Road 3,3,175,733698,1625000,0.000968337440147708
213,Highway 7,Tc Highway,7,468,5200147,2507000,0.0154664344560222
214,Regional Road 8,Hwy 8,8,0,0,0,0.0198392747921991
215,Forest Rd,King's Highway 21,21,0,0,0,0.0001568183662712
216,Highway 40, ,40,269,2788430,2481000,0.0116261242532663
217,Highway 40,Mcnaughton Ave,40,0,0,0,0.000209602003809839
218,Woodlawn Rd W,King's Highway 6,6,0,0,0,0.0016642094218997
219,Highway 58a, ,58,379,773338,1397000,0.00197599925350993
220,Huron Rd,King's Highway 8,8,194,322238,690000,0.0237216384919764
221,Hwy 93,Penetanguishene Rd,93,425,1781399,3864000,0.0152576430306759
222,Lake  Nosbonsing Road, ,654,117,3550,24000,0.00302151457362978
223,Highway 17, ,17,295,2505854,14734000,0.0737760750875838
224,Erie St,King's Highway 7,7,514,1590212,4968000,0.0105023574896661
225,Huron St,King's Highway 8,8,0,0,0,0.00672521924011561
226,Irish School Rd,County Road 21,21,0,0,0,0.0278269926768093
227,Lambton Line,County Road 21,21,0,0,0,0.0129513335142995
228,Lambton Line,County Road 21,21,0,0,0,0.0139940213694505
229,Broad St W,King's Highway 3,3,244,597339,1138000,0.00956188202416524
230,Main St W,King's Highway 3,3,244,597339,1138000,0.00734046592528844
231,Churchill Line,King's Highway 40,40,778,1326556,2003000,0.0175051423745429
232,Churchill Line,King's Highway 40,40,778,1326556,2003000,0.00517266394736703
233,St Clair Rd,King's Highway 40,40,261,728887,1501000,0.0146785513216357
234,Forks Rd,King's Highway 3,3,168,436464,976000,0.00367337979491385
235,Front Street, ,17,359,1646664,8697000,0.010593654195134
236,Highway 11,Government Road,11,0,0,0,0.0223555414763123
237,Highway 40,Communication Rd,40,334,925136,3649000,0.00980122122349713
238,Hwy 9, ,9,507,760719,1200000,0.0232666395108167
239,Colonel Talbot Rd,King's Highway 4,4,762,864808,1815000,0.019430397286534
240,Hwy 20, ,20,0,0,0,0.00818602438648152
241,Wellington St W,King's Highway 7,7,0,0,0,0.000660074962412317
242,Highway 655, ,655,200,263491,577000,0.0171658797107168
243,1st Street, ,11,526,5876165,20089000,0.113060801476147
244,Forks Rd,King's Highway 3,3,180,442674,1008000,0.029108963622592
245,Highway 40,Communication Rd,40,334,925136,3649000,0.000847425907103674
246,Highway 40,Communication Rd,40,356,2272174,5031000,0.0128735001128419
247,Highway 101, ,101,268,661049,622000,0.131433958378975
248,Highway 40,Communication Rd,40,362,1364452,4723000,0.0119368320954069
249,County Road 3,Talbot Trail,3,0,0,0,0.0107169338177309
250,Oil Heritage Rd,County Road 21,21,0,0,0,0.0245236217438936
251,County Road 2, ,2,0,0,0,0.0155831894240865
252,Hwy 9,Davis Drive West,9,0,0,0,0.0238794575322271
253,Dundas St E,Regional Road 5,5,0,0,0,0.00149386412767449
254,County Road 21,Hwy 21,21,0,0,0,0.0149443313889949
255,County Road 21,Hwy 21,21,0,0,0,0.0058765852812543
256,County Road 21,Hwy 21,21,0,0,0,0.00732957882584566
257,Highway 3,Concession 1 Rd,3,366,356034,726000,0.00891713817501578
258,Broadway St,King's Highway 19,19,0,0,0,0.00123107331946856
259,Vienna Rd,King's Highway 19,19,0,0,0,0.00285019105698596
260,Simcoe St,King's Highway 19,19,0,0,0,0.000597724016555831
261,Hwy 3,King's Highway 3,3,272,1339422,1736000,0.0024702244064052
262,Regional Road 7, ,7,0,0,0,0.00650599805195936
263,Highway 3,Essex Bypass,3,463,822082,1005000,0.000658975818976023
264,Hawthorne Drive, ,534,5,0,0,0.000556397478437497
265,Main St,King's Highway 3,3,213,1149750,1497000,0.0147372632480945
266,Kingston Rd,Highway 2,2,0,0,0,0.000207170567403125
267,Hwy 3,King's Highway 3,3,149,1020013,1396000,0.0169293265046895
268,Highway 3, ,3,271,929916,1281000,0.0189083242968711
269,York Rd,King's Highway 7,7,0,0,0,0.00436161081481745
270,Highway 48,Highway 48,48,246,116344,59000,0.0022398202704992
271,Highway 77, ,77,220,1286498,2647000,0.0124246374688336
272,Highway 3 E, ,3,723,499058,1507000,0.0019681558789628
273,Richmond St,King's Highway 4,4,295,218443,239000,0.013805063450626
274,Highway 3, ,3,774,496662,1507000,0.0221413736042675
275,Highway 77, ,77,496,2176256,2494000,0.0124301861758854
276,Huron Rd,King's Highway 8,8,269,195914,339000,0.0159432342254632
277,Highway 24, ,24,452,1037509,4238000,0.00182785245249837
278,Karen St, ,4,0,0,0,0.00011499999999387
279,Wellington Street South, ,118,0,0,0,0.00417481003400003
280,Forest Rd,King's Highway 21,21,211,550332,1045000,0.0104722937696841
281,Forest Rd,King's Highway 21,21,211,550332,1045000,0.00164006158421978
282,Forest Rd,King's Highway 21,21,211,550332,1045000,0.00163206578848688
283,Highway 108, ,108,0,0,0,0.0075088586610669
284,Brant Rd,King's Highway 24,24,484,547901,866000,0.0150014333530049
285,Regional Road 20,Hwy 20,20,0,0,0,0.0103194718802988
286,Merritt Road, ,58,0,0,0,0.0114815082965432
287,Canboro Rd,Regional Road 20,20,0,0,0,0.00549642246158689
288,Talbot Line,County Road 3,3,0,0,0,0.0279017175996277
289,Talbot Line,County Road 3,3,0,0,0,0.0394879964880535
290,Talbot Line,County Road 3,3,0,0,0,0.0261985440871547
291,Talbot Line,County Road 3,3,0,0,0,0.0217503162640253
292,Highway 3,Concession 1 Rd,3,364,248076,712000,0.000606395989588979
293,Colonel Talbot Rd,King's Highway 4,4,762,864808,1815000,0.0023786504206299
294,Regional Road 24, ,24,0,0,0,0.00947584897288878
295,Hwy 6,King's Highway 6,6,113,306067,336000,0.0134978763040772
296,Highway 3,St Thomas Expy,3,273,1070771,5803000,0.00535190431537911
297,None, ,588,0,0,0,0.00119217532265117
298,Hwy 6,King's Highway 6,6,269,490764,2335000,0.00381637090544283
299,Talbot Line,King's Highway 3,3,476,1458100,3890000,0.00270833417434594
300,Richmond St,King's Highway 4,4,0,0,0,0.00342323545378911
301,Richmond St,King's Highway 4,4,0,0,0,7.78212053398333e-05
302,Talbot Line,King's Highway 3,3,327,920128,2910000,0.0128082069530653
303,Talbot Line,King's Highway 3,3,271,1360535,2722000,0.0250321400095936
304,Talbot St E,King's Highway 3,3,271,1360535,2722000,0.0060740221932606
305,Talbot Line,King's Highway 3,3,237,1323700,2630000,0.0250688476575152
306,Talbot Line,King's Highway 3,3,196,1377428,3323000,0.0171104587657585
307,Highway 17, ,17,265,3074144,21023000,0.0273428400242682
308,Talbot Line,King's Highway 3,3,238,1341431,2680000,0.0161782602779078
309,Talbot Line,King's Highway 3,3,243,1324384,2631000,0.0120876877967535
310,Talbot Line,King's Highway 3,3,196,1377428,3323000,0.000897634159314068
311,Plank Rd,County Road 19,19,0,0,0,0.00621145930808805
312,Highway 17, ,17,281,3074144,21023000,0.00504368625789748
313,Broadway St,King's Highway 19,19,454,1913961,6162000,0.0121090258905185
314,Plank Line,King's Highway 19,19,391,2201949,4889000,0.00536852710950042
315,Plank Line,King's Highway 19,19,399,2281746,5031000,0.0175223096109798
316,Bluewater Hwy,King's Highway 21,21,245,422294,1903000,0.0185830418284412
317,Loudon Rd,King's Highway 4,4,238,546828,795000,0.0185650137879717
318,Highway 651, ,651,20,0,0,0.00290104623298209
319,Mitchell Line,Hwy 23,23,263,159488,885000,0.0175439836777672
320,Hurontario Street,Highway 10,10,209,448126,1276000,0.00117502773755622
321,Highway 17, ,17,400,4413637,32799000,0.0252734618783267
322,Cassells Street, ,63,0,0,0,0.000768692774813553
323,Ontario St S,King's Highway 21,21,272,796538,2409000,0.0303838839331453
324,Highway 11, ,11,276,3746805,18457000,0.391602085496827
325,Yonge St,County Road 1,11,0,0,0,0.00642127787048695
326,Bluewater Hwy,King's Highway 21,21,267,746863,2370000,0.0165365230283827
327,Yonge St,County Road 1,11,0,0,0,0.00977557967910678
328,Yonge St,County Road 1,11,0,0,0,0.00218990250921748
329,Yonge St,County Road 1,11,0,0,0,0.00865364542859276
330,Bluewater Hwy,King's Highway 21,21,267,746863,2370000,0.0162788024297607
331,Bluewater Hwy,King's Highway 21,21,461,1146977,2684000,0.00130819837029602
332,Highway 618, ,618,0,0,0,0.00144116327176086
333,Richmond St,King's Highway 4,4,295,218443,239000,0.0305426737164908
334,Queen St E,Regional Road 7,7,0,0,0,0.00667099794543458
335,County Road 52,King's Highway 8,8,653,2291662,2772000,0.0033757836903572
336,Richmond St,King's Highway 4,4,202,414280,468000,0.0135778784618538
337,Richmond St,King's Highway 4,4,0,0,0,0.0116814750549494
338,Mitchell Line,Hwy 23,23,263,159488,885000,0.0195025703007632
339,Elginfield Rd,King's Highway 7,7,462,386706,1000000,0.0253003121846063
340,Mitchell Line,Hwy 23,23,263,159488,885000,0.018526811257156
341,Mitchell Line,Hwy 23,23,263,159488,885000,0.019223422186453
342,Elginfield Rd,King's Highway 7,7,462,386706,1000000,0.00305492188573133
343,Loudon Rd,King's Highway 4,4,494,73962,62000,0.0186252651063287
344,164 Road,Hwy 23,23,269,196900,998000,0.0205076556159978
345,Hwy 27, ,27,0,0,0,0.000679576167914268
346,Victoria St S,King's Highway 21,21,0,0,0,0.00249416759904322
347,Huron Rd,King's Highway 8,8,0,0,0,0.00867729778420412
348,Bayfield Rd,King's Highway 21,21,0,0,0,0.00382742446039262
349,Toronto St,King's Highway 8,8,0,0,0,0.00471965399242959
350,Highway 21,Bluewater Hwy,21,149,153613,1702000,0.0006570486922499
351,Huron Rd,King's Highway 8,8,236,234355,371000,0.0237368217765492
352,Huron Rd,King's Highway 8,8,236,234355,371000,0.023718454272036
353,Highway 656, ,656,9,0,0,0.00721593765431228
354,Yonge St,County Road 1,11,0,0,0,0.00666745903656397
355,Main St N,Regional Road 68,48,0,0,0,0.0017384075523391
356,Highway 11, ,11,382,7615776,18231000,0.00570722426825284
357,Highway 522B, ,522,16,67628,78000,0.00193268569613958
358,Highway 522B, ,522,16,67628,78000,0.00066784632661517
359,County Road 2, ,2,0,0,0,0.036782213996921
360,Oil Heritage Rd,County Road 21,21,0,0,0,0.0277444016808637
361,Yonge St, ,11,0,0,0,0.000495404471115533
362,County Road 2, ,2,0,0,0,0.0459679793598576
363,Lundy's Lane,Regional Road 20,20,0,0,0,0.0116904598920416
364,Hwy 89, ,89,309,1190720,3359000,0.0251738573929512
365,Bloor St W,Hwy 5,5,0,0,0,0.00451620865347638
366,Kingston Rd,Highway 2,2,0,0,0,0.00149222288214867
367,Yonge St, ,11,0,0,0,0.00169816989727625
368,Yonge St, ,11,0,0,0,0.00290556663526505
369,Kingston Rd W,Regional Highway 2,2,0,0,0,0.000541243717789037
370,Garrison Rd,King's Highway 3,3,229,560895,1313000,0.00130687581479285
371,Bloor St W,Hwy 5,5,0,0,0,0.0038588292633825
372,Highway 11, ,17,595,2702813,11025000,0.0130770531364328
373,Sailors Encampment Drive, ,548,15,0,0,0.0898709348016829
374,Highway 48,King's Highway 48,48,459,397941,2212000,0.00178317035640664
375,Colonel Talbot Rd,King's Highway 4,4,0,0,0,0.00114549770842798
376,Main St,King's Highway 4,4,0,0,0,0.00883666193987134
377,Regional Road 7, ,7,0,0,0,0.0202636501778605
378,Highway 7,Tc Highway,7,310,759949,1056000,0.0167191620126688
379,Highway 10,Highway 10,10,0,0,0,0.013461658164427
380,Modeland Rd,King's Highway 40,40,921,2298160,3046000,0.0122294504439225
381,Ontario Street, ,520,118,26,0,0.000242640412942692
382,County Road 109,Hwy 9,9,0,0,0,0.00960277629646853
383,Talbot Line,King's Highway 3,3,333,920128,2910000,0.0231855282379764
384,County Road 1, ,11,0,0,0,0.025058244228159
385,Lansdowne St W, ,115,0,0,0,0.00717614264228454
386,Highway 7, ,7,238,5867,220000,0.0232317054417273
387,Highway 7, ,7,239,5867,220000,0.0137409510817376
388,County Road 109,Hwy 9,9,0,0,0,0.00475947609969871
389,County Road 109,Hwy 9,9,0,0,0,0.00427198801938393
390,County Road 109,Hwy 9,9,0,0,0,0.0133111056948768
391,Goderich St W,King's Highway 8,8,0,0,0,0.0103426698755988
392,Highway 48,King's Highway 48,48,484,2024600,3048000,0.0155993582140514
393,Highway 48,King's Highway 48,48,484,2024600,3048000,0.00161625528983562
394,Highway 28, ,28,218,546618,183000,0.0324269128774279
395,Highway 7, ,7,246,1230497,1553000,0.0166767655360986
396,County Road 49,Highway 49,49,631,324482,1484000,0.00202585829515669
397,County Road 41, ,41,0,0,0,0.0045517487531869
398,Hwy 60, ,60,142,327922,848000,0.00624140581370983
399,Princess St, ,2,0,0,0,0.00971619362414139
400,Highway 15, ,15,185,195334,415000,0.024379153139187
401,Tc Hwy,King's Highway 17,17,549,3013283,15179000,0.0225128309580722
402,County Road 2, ,2,0,0,0,0.00534631086394344
403,Pembroke St W, ,148,0,0,0,0.0119967742999383
404,Highway 48,King's Highway 48,48,347,274628,802000,0.0178715194271577
405,County Road 17,Hwy 21,21,0,0,0,0.000163003067453661
406,Highway 7a, ,7,297,340603,179000,0.0168656844101322
407,Kingston Rd,Regional Highway 2,2,0,0,0,0.000840859105926752
408,Kingston Rd,Regional Highway 2,2,0,0,0,0.000157000541411265
409,Highway 35,Highway 35,35,444,563130,1543000,0.000876502139170043
410,Regional Road 5,Hwy 5,5,227,79967,87000,0.00134494863769713
411,Regional Road 5,Hwy 5,5,492,144406,487000,0.00104711367098975
412,Winchester Rd W,King's Highway 7,7,548,315305,548000,0.00369071680655148
413,Highway 7, ,7,747,96640,314000,0.0101081512302884
414,County Road 2,Highway 2,2,0,0,0,0.0115534390629871
415,Highway 17, ,17,358,3664200,20228000,0.0535088343048435
416,Tc Hwy, ,17,517,4163443,12169000,0.00122771576438628
417,Frankford Rd,County Road 33,33,0,0,0,0.00173069292480349
418,Hwy 89, ,89,603,5155013,10335000,0.00508551156211572
419,Hwy 89, ,89,603,5155013,10335000,9.00277734437938e-05
420,Hwy 89, ,89,0,0,0,0.000145040401260477
421,Highway 7a, ,7,562,701768,1090000,0.00038829286882606
