FID,RDNAME,RDNAME2,HWY_NUM,AADTT16,VOG_WGT,VOG16,SHAPE_Length
12300,Highway 401 Expy,Macdonald-Cartier Fwy E,401,18198,80335030,284787000,0.0210166651708579
12301,Highway 401 Collector,Macdonald-Cartier Fwy W,401,17002,68027819,215832000,0.0156441086211633
12302,Highway 401 Expy,Macdonald-Cartier Fwy E,401,18620,93606874,317380000,0.00999175263451576
12303,Highway 401 Expy,Macdonald-Cartier Fwy W,401,17130,78217420,261599000,0.00280024991932485
12304,Tc Hwy E, ,417,6911,9152458,23638000,0.00625018995786904
12305,Highway 401 Expy,Macdonald-Cartier Fwy E,401,18503,88636480,296394000,0.00672073716732492
12306,Highway 403 W, ,403,1937,16926718,41969000,0.00682341556296712
12307,Highway 401 Collector,Macdonald-Cartier Fwy W,401,17323,88148180,340629000,0.00566258230430584
12308,Highway 401 E, ,401,4462,48496731,175316000,0.088002865800639
12309,Highway 409 E, ,409,5762,12936671,63046000,0.00720002331478181
12310,Highway 400, ,400,774,9590525,42068000,0.00618827319762215
12311,Highway 401 Collector,Macdonald-Cartier Fwy W,401,19427,87942211,336343000,0.00491875655902717
12312,Highway 7 E,King's Highway 8 E,7,1691,10071253,16658000,0.0440516170898942
12313,Highway 7 E,King's Highway 8 E,7,1501,6869062,15916000,0.00558671634890918
12314,Highway 401 Expy,Macdonald-Cartier Fwy W,401,17130,78217420,261599000,0.00746037602488601
12315,Highway 401 Expy,Macdonald-Cartier Fwy E,401,18620,93606874,317380000,0.00461143298773183
12316,Highway 7 W,King's Highway 8 W,7,1958,5320009,9071000,0.024299650891262
12317,Highway 7 E,King's Highway 8 E,7,2698,13638006,17780000,0.0231649270570803
12318,Highway 401 E,Macdonald-Cartier Fwy E,401,11745,71266753,296477000,0.0223388358533815
12319,Highway 401 Collector,Macdonald-Cartier Fwy W,401,9057,56598624,213818000,0.00525263575331986
12320,Highway 401 E,Macdonald-Cartier Fwy E,401,3852,38240739,205560000,0.00625545103226293
12321,Highway 401 W,Macdonald-Cartier Fwy W,401,8771,49291833,195998000,0.00434670128068415
12322,Highway 401 E,Macdonald-Cartier Fwy E,401,4391,40596125,217838000,0.0735140366878253
12323,Highway 6 S,Hanlon Expy,6,1642,4839088,39882000,0.00261686884533816
12324,Highway 401 E,Macdonald-Cartier Fwy E,401,11738,71264553,296486000,0.0109885129622822
12325,Highway 401 E,Macdonald-Cartier Fwy E,401,9775,89569236,311703000,0.011084536814374
